Property Type,Location,Square Footage,Number of Bedrooms,Number of Bathrooms,Roof Type,Year of Construction,Current Monthly Energy Usage,Primary Energy Source,Number of Occupants,Heating System,Cooling System,Water Heating System,Thermostat Type,Lighting Type,Roof Insulation,Wall Insulation,Major Appliances,Window Type,Door Type,Solar Panel,Other Renewable Energy Source
Apartment,Rural,3518,3,1,Asphalt,1981,219.6031055,Electric,1,Forced Air,Window AC,Tankless,Manual,CFL,Other,Foam,"Refrigerator, Microwave",Double Pane,Fiberglass,Yes,Yes
Apartment,Suburban,3613,2,1,Asphalt,1988,115.0654348,Other,2,Radiant,Window AC,Tankless,Manual,Incandescent,Fiberglass,Fiberglass,"Microwave, Dishwasher, Refrigerator, Other, Dryer, Oven, Washer",Low-E,Wood,No,No
Condo,Rural,2774,1,1,Asphalt,1994,179.8318361,Other,8,Other,None,Heat Pump,Smart,LED,Foam,Other,"Dishwasher, Other, Dryer",Single Pane,Fiberglass,Yes,No
House,Rural,1264,4,4,Tile,2012,122.1049254,Solar,1,Heat Pump,Window AC,Heat Pump,Smart,CFL,Fiberglass,Fiberglass,"Washer, Oven, Dishwasher, Other, Refrigerator, Dryer, Microwave",Single Pane,Fiberglass,No,Yes
Apartment,Suburban,4815,5,4,Other,2013,276.1634468,Electric,8,Forced Air,Central AC,Heat Pump,Smart,LED,Other,Other,"Refrigerator, Other, Oven, Washer, Dishwasher, Microwave, Dryer",Double Pane,Metal,No,Yes
Condo,Rural,4100,5,2,Asphalt,2003,160.9663396,Electric,7,Other,None,Storage,Smart,Incandescent,Fiberglass,Foam,"Refrigerator, Oven, Dishwasher, Other",Single Pane,Metal,No,Yes
Condo,Urban,4905,5,3,Asphalt,2019,140.9710712,Other,2,Radiant,Window AC,Other,Smart,LED,Other,Other,"Other, Oven, Dryer, Microwave",Single Pane,Metal,No,Yes
Apartment,Rural,3803,4,3,Other,1982,244.2841935,Gas,2,Heat Pump,Central AC,Heat Pump,Smart,Incandescent,Fiberglass,Foam,"Washer, Oven, Dryer, Microwave, Dishwasher",Single Pane,Wood,Yes,No
Condo,Rural,2955,5,4,Other,2021,151.7362667,Electric,10,Forced Air,None,Other,Smart,Incandescent,Foam,Foam,"Refrigerator, Microwave, Oven, Dishwasher, Other",Low-E,Metal,Yes,No
Apartment,Suburban,3081,4,3,Tile,1982,80.64255286,Gas,7,Other,Window AC,Other,Manual,CFL,Foam,Other,"Washer, Microwave",Low-E,Wood,Yes,No
